CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
11.3,0,25.08,0,0.76,6.6,111.77,0.78,24,598.56,17.43,362.79,12.42
-7.97,0,12.96,1,0.68,6.28,87.22,3.14,24,450.92,16.58,402.21,13.69
-9.01,0,3.37,0,0.58,7.27,48.22,4.63,3,296.18,17.1,357.4,3.75
-2.2,0,19.14,0,0.54,5.47,58.88,2.37,3,445.28,21.51,374.54,16.78
5.63,0,18.21,0,0.67,6.17,114.02,2.33,4,500.39,19.11,265.51,23.87
-6.75,0,15.3,0,0.56,5.87,64.21,2.97,2,377.02,16.18,507.85,8.41
1.24,0,8.38,0,0.47,5.1,88.22,3.55,4,223.58,20.71,466.93,14.11
2.39,0,6.09,0,0.61,5.6,72.14,4.31,5,386.64,19.78,225.12,14.79
-2.3,0,11.04,0,0.46,6.92,40.31,6.98,3,270.96,17.79,369.93,12.75
8.89,0,10.23,0,0.55,6.67,67.17,1.99,8,396.1,17.72,273.17,8.66
4.96,0,6.28,0,0.48,6.73,45.48,5.8,6,221.5,17.59,291.89,3.83
-16.04,40,11.15,0,0.53,5.8,28.4,2.19,4,192.38,16.55,389.14,2.03
1.44,0,7.18,1,0.59,6.77,49.01,5.41,4,243.82,18.22,384.57,12.63
0.36,0,19.51,0,0.65,6.46,150.75,0.46,24,584.03,18.01,282.39,24.4
-6.56,0,12.87,0,0.58,5.74,50.77,5.56,5,491.21,20.02,255.37,15.79
14.07,0,26.4,0,0.78,5.85,115.68,-0.03,24,675.97,19.18,193.59,30.7
-3.18,20,1.64,0,0.44,6.96,27.41,7.72,4,454.59,18.1,220.58,6.2
3.59,0,14.5,0,0.64,5.74,74.47,5.17,5,418.13,16.09,336.87,17.48
-15.8,45,3.52,0,0.42,6.46,54.67,5.73,1,199.96,16.23,434.25,5
5.4,0,11.54,0,0.64,6.16,57.23,4.11,24,464.15,22.93,176.82,8.7
8.9,0,-1.49,1,0.56,6.74,47.02,6.03,24,373.78,16.52,257.5,10.51
6.62,0,12.51,1,0.82,5.74,112.83,0.98,24,542.26,18.95,291.54,18.52
-8.24,0,13.85,0,0.6,5.54,127.26,1.87,4,262.74,16.49,247.13,10.56
-2.88,25,1.29,0,0.57,5.79,56.71,5.72,4,187.7,15.09,479.57,12.86
4.71,34,3.96,0,0.49,7.14,77.8,4.08,24,506.41,16.53,340.07,9.05
9.66,0,13.35,0,0.59,6.56,103.78,3.21,24,545.08,21.76,161.97,23.07
9.51,0,-1.43,0,0.44,5.34,85.74,4.87,5,181.08,20.55,396.79,22.36
13.15,0,11.34,0,0.54,7.67,96.97,3.91,6,404.43,19.5,517.75,20.29
10.21,0,20.01,0,0.75,6.1,95.86,0.9,8,660.77,23.14,406.2,18.92
9.43,0,13.02,0,0.52,5.96,61.11,3.76,5,468.61,22.04,329.67,14.54
-13.09,28,9.57,0,0.44,7,39.58,6.81,3,268.74,18.06,395.45,10.34
4.69,0,19.71,0,0.76,5.64,97.69,1.59,24,685,20.39,373.9,19.42
-7.29,80,1.06,0,0.26,5.77,5.82,8.97,1,101.92,17.89,536.68,0.12
13.31,0,19.44,0,0.59,5.78,88.88,3.6,24,587.98,21.83,367.85,24.34
-13.43,95,-8.71,0,0.3,7.73,23.54,7.44,1,15.91,14.72,365.89,1.56
-5.14,85,1.85,0,0.33,6.19,23.54,8.8,4,173.73,17.68,451.2,5.78
8.25,0,16.17,0,0.69,5.71,115.7,-1.48,24,659.42,21.53,348.36,17.62
7.79,0,7.83,0,0.55,6.06,59.72,4.09,4,158.63,15.38,358.93,12.76
1.66,0,20.93,0,0.76,6.65,108.52,-0.93,24,682.35,17.52,421.45,13.38
-7.61,25,2.25,0,0.48,7.14,48.46,5.9,2,246.69,18.76,498.73,8.07
-10.46,40,4.28,0,0.4,6.2,17.94,6.75,3,128.01,15.87,329.84,5.73
-7.79,0,16.56,0,0.59,5.85,105.39,0.5,4,324.16,20.98,451.26,19.7
4.91,35,1.9,0,0.43,6.09,64.57,5.84,4,289.43,16.93,588.77,15.58
-5.27,0,16.74,0,0.62,6.78,97.45,3.28,5,469.19,18.45,367.15,11.88
-2.65,0,11.85,0,0.59,6.66,67.69,2.8,5,353.88,17.43,340.93,7.2
-8.37,52.5,-0.04,0,0.34,5.89,24.27,7.33,1,39.23,17.81,515.43,10.07
-17.94,0,9.89,0,0.43,5.51,86.97,4.18,1,73.63,19.27,459.94,15.26
-1.2,0,14.61,0,0.62,6.24,101.56,1.61,24,608.55,20.86,323.64,21.21
-3.82,0,15.7,0,0.63,6.62,71.54,3.64,24,571.43,17.05,327.27,16.41
-9.11,25,9.01,0,0.52,6.47,64.51,6.05,3,301.18,15.85,472.77,5.85
-3.15,30,-1.34,0,0.33,7.54,-6.35,7.69,1,-6.76,14.61,366.25,-2.51
-9.38,80,7.79,0,0.43,6.63,46.87,7.46,5,345.36,17.75,360.76,8.15
5.09,12.5,6.35,0,0.63,7.38,56.1,5.46,24,495.61,16.19,324.38,6.11
-5.05,0,11.59,0,0.68,5.88,96.26,2.44,5,431.04,17.4,365.62,9.73
8.18,0,20.35,0,0.75,6.34,102.29,-0.77,24,579.93,18.12,412.31,21.81
7.83,0,19.04,0,0.64,5.62,62.11,5.46,24,682.53,21.58,201.19,15.84
4.26,0,14.29,1,0.57,7.42,59.51,2.39,4,342.61,16.95,411.81,1.11
-6.72,0,12.51,0,0.6,5.12,60.21,3.89,6,353.91,16.7,368.78,20.86
-4.37,0,12.2,0,0.46,5.06,55.47,2.52,3,302.31,21.44,648.23,17.34
2.37,0,12.4,0,0.62,6.3,61.69,3.29,4,494.1,17.72,279.89,12.69
17.6,0,24.85,0,0.65,4.66,112.25,1,24,607.77,23.71,233.79,25.43
-4.86,33,0.6,0,0.36,6.64,27.32,8.63,1,45.93,19.76,502.89,4.93
8.03,0,14.2,0,0.58,6.67,79.57,2.92,7,552.06,17.93,296.12,16.93
-6.46,12.5,9.23,0,0.53,6.4,39.9,4.6,24,354.49,19.73,359.99,6.03
9.87,0,22.17,1,0.76,6.1,108.72,-0.36,24,640.98,18.39,281.57,13.42
1.06,0,10.53,0,0.53,6.04,63.2,2.64,4,381.28,19.22,402.21,7.84
7.2,55,3.13,0,0.38,7.12,43.33,6.77,5,320.71,16.79,389.68,11.02
9.62,0,17.2,0,0.68,5.91,103.54,1.81,24,711.73,23.41,327.09,21.34
8.37,0,11.38,0,0.53,5.22,99.61,3.16,4,375.8,19.01,428.66,22.32
-13.64,70,1.62,0,0.37,8.1,24.39,6.34,1,-21.86,14.54,365.06,1.21
1.05,0,1.89,0,0.45,6.97,82.79,6.39,3,134.73,18.29,377.98,6.16
-7.74,45,3.53,0,0.41,5.83,35.58,7.59,4,284.96,18.51,471.03,6.52
