CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
-1.39,0,9.82,0,0.45,5.98,42.22,6.18,4,227.66,18.27,382.3,17.95
7.97,0,12.99,0,0.55,6.15,62.78,3.29,24,518.76,19.88,354.75,14.81
13.05,25,7.28,0,0.5,6.42,72.53,4.96,24,624.18,18.43,334.23,15.04
7.12,0,20.19,1,0.74,6.96,107.66,1.09,24,726.41,19.38,262.23,12.26
8.83,0,5.47,0,0.46,5.75,22.07,5.45,8,472.47,20.09,215.44,11.96
7.85,0,12.39,0,0.63,7.42,120.8,1.39,24,588.95,22.25,420.85,10.23
17.46,21,-3.34,0,0.35,7.97,30.95,6.07,24,196.89,18.15,309.99,5.1
20.32,0,16.47,0,0.74,6.12,94.83,0.54,24,628.69,19.5,272.28,11.95
26.32,0,21.6,0,0.9,5.74,132.78,-0.63,24,609.13,20.13,347.09,21.14
14.93,0,21.8,1,0.6,5.61,95.49,2.27,24,588.64,25.76,327.73,19.91
-0.31,0,17.51,0,0.65,5.65,75.68,3.83,4,501.17,20.04,336.32,23.98
8.12,0,14.85,0,0.68,5.55,90.96,2.37,8,465.37,19.22,296.99,18.39
-15.22,25,7.15,0,0.37,6.5,64.84,6.44,1,188.29,21.98,365.49,5.84
9.76,0,15.18,0,0.67,5.7,75.31,4.51,24,583.7,17.98,176.22,17.81
11.33,20,3.85,0,0.42,5.08,41.3,4.64,8,277.41,18.69,405,18.61
-1.26,40,9.64,0,0.5,6.56,53.73,3.56,5,427.95,18.18,413.28,-1.6
-0.54,80,8.7,0,0.37,8.06,-5.44,8.58,24,451.73,16.77,423.59,-1.95
16.26,0,4.54,0,0.49,7.24,47.69,5.4,24,434.64,17.99,240.2,8.36
7.1,0,11.16,0,0.6,6.53,53.03,2.98,8,470.67,19.14,370.66,2.98
13.92,0,18.61,0,0.61,5.99,59.66,0.91,24,634.66,17.14,348.62,14.58
7.92,20,7.68,0,0.35,6.21,22.27,6.86,4,363.85,18.47,361.79,6.26
3.74,0,13.35,0,0.6,7.59,100.09,4.25,24,562.16,19.4,146.17,15.12
3.87,0,13.01,0,0.54,6.77,91.76,3.88,5,369.43,17.09,304.64,13.71
-0.86,0,15.19,0,0.52,5.37,66.12,4.9,5,345.46,20.03,227.64,11.63
6.2,0,17.3,0,0.64,4.58,74.44,2.68,5,642.68,20.13,259.31,22.73
4.15,25,-0.79,0,0.49,6.75,39.85,5.4,6,352.22,17.29,388.28,9.82
5.94,0,15.03,0,0.65,7.09,61.08,2.99,8,444.19,14.68,244.45,8.23
-9.7,85,-2.67,0,0.52,7.65,51.68,3.8,5,148.92,15.5,497.01,-6.31
2.33,0,18.1,1,0.7,6,108.18,2.27,24,516.4,16.62,306.18,20.57
13.72,0,11.63,0,0.57,5.86,93.01,2.98,6,497.75,20.76,279.52,25.87
11.4,0,9.03,0,0.56,6.49,96,2.71,8,410.18,17.45,386.94,10.92
14.05,0,18.74,0,0.72,5.89,121.04,1.56,5,557.54,16.01,380.67,25.98
9.24,0,4.41,0,0.43,6.94,31.94,5.25,5,289.09,19.66,368.17,8.79
6.87,0,17.81,0,0.74,5.94,131.21,-1.96,24,595.84,20.24,380.86,15.7
-10.03,0,9.57,0,0.43,6.05,50.81,4.57,1,113.22,19.45,255.35,5.44
3.06,0,17.86,1,0.67,6.22,61.54,2.48,24,508.28,18.38,320.64,11.14
7.67,0,12.67,0,0.57,5.78,59.23,4.56,5,345.06,18.62,315.26,2.43
6.48,0,11.98,0,0.62,6.6,69.73,3.61,24,479.12,18.74,221.07,14.99
0.79,0,14.23,0,0.59,5.89,73.07,5.31,24,655.56,20.07,369.74,11.44
1.69,0,6.72,0,0.43,4.69,77.66,2.65,2,167.62,20.1,410.65,19.64
-7.58,33,5.92,0,0.46,6.41,32.21,6.35,3,202.19,18.03,412.82,7.79
-14.09,0,15.25,1,0.6,6.48,86.28,2.18,4,357.91,18.6,353.44,9.67
-9.55,60,8.73,0,0.4,6.69,58.43,6.53,1,250.56,16.59,454.06,10.82
3.25,0,14.88,0,0.58,6.61,63.45,3.77,5,364.88,20.41,324.08,18.3
26.07,0,13.93,0,0.66,6.29,68.91,3.58,24,611.41,20.59,160.74,15.69
-2.51,0,-0.11,0,0.44,6.5,44.91,6.82,4,140.7,19.59,370.24,10.57
7,0,6.76,0,0.47,7.12,67.05,5.44,4,307.74,17.79,342.92,11.29
-6.79,0,14.65,0,0.51,6.27,56.68,2.19,3,363.51,16.74,365.18,14.72
7.6,0,13.81,0,0.52,5.69,59.67,3.45,4,383.94,15.96,425.32,13.45
2.02,0,16.88,0,0.59,6.22,87.93,2.8,5,346.63,18.72,376.14,11.72
9.32,0,19.93,0,0.61,5.79,72.68,2.76,24,640.99,20.28,248.37,20.43
3.04,0,24.3,0,0.78,6.16,137.01,-1.68,7,571.14,18.02,385.98,17.02
-5.65,0,9.66,0,0.57,5.08,78.8,5.09,3,238.58,16.31,402.12,20.73
-10.08,75,5.62,0,0.48,5.91,61.55,5.48,4,95.07,14.77,364.72,8.32
