CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
12.27,0,26.26,0,0.78,5.74,114.03,1.2,7,605.53,18.79,359.51,17.25,5.96
-4.23,0,12.32,0,0.49,6.26,61.87,6.85,3,240.21,19.79,394.89,7.1,13.17
-4.18,0,10.17,0,0.58,6.63,60.29,3.01,4,376.86,15.75,294.69,8.89,35.41
12.15,0,12.65,0,0.5,5.16,84.29,4.85,24,551.65,18.72,287.37,18.49,14.73
-7.9,20,12.95,0,0.51,6.16,56.44,3.3,4,231.47,16.54,479.85,14.11,24.19
-0.41,0,14.81,0,0.68,5.14,114.38,1.96,5,493.24,20.12,365.26,15.85,6.7
6.83,0,6.79,0,0.53,7.39,61.41,3.77,3,194.88,14.56,368.55,3.57,31.22
1.36,40,7.47,0,0.47,7.21,57.19,3.58,24,422.62,17.37,496.41,2.43,39.4
-1.08,0,13.38,0,0.69,6.75,80.83,2.89,8,482.94,18.8,340.1,8.2,22.7
1.96,22,6.56,0,0.58,5.76,74.39,5.55,6,366.61,18.38,420.6,18.83,12.6
-4.25,90,-4.75,0,0.42,7.79,4.73,7.6,1,143.22,12.16,543.85,-3.79,34.44
8.6,0,15.72,0,0.64,7.12,80.75,4.27,5,544.61,20.62,252.53,17.62,17.32
6.08,0,19.53,0,0.63,7.77,81.7,5.74,4,291.47,19.24,332.65,9.76,28.06
-6.58,0,12.79,0,0.57,5.88,50.73,5.45,5,491.11,19.82,255.44,15.33,19.1
1.95,90,0.71,0,0.42,7.05,39.58,7.57,5,254.12,15.23,522.39,1.65,25.54
-17.59,90,-3.16,0,0.33,7.76,17.12,7.57,1,114.14,14.95,396.91,-0.78,38.34
4.34,0,13.21,0,0.67,6.23,78.14,1.64,6,529.98,16.26,317.99,14.81,13.24
-4.25,12.5,9.45,0,0.52,5.87,49.98,5.23,4,344.31,14.29,353.69,12.17,27.09
-12.52,95,-1.27,1,0.43,7.8,-7.59,6.57,1,62.59,11.66,624.35,-0.03,37.72
-11.11,20,7.99,0,0.35,6.6,49.37,4.31,1,143.83,18.42,465.91,-0.41,40.82
5.14,0,14.05,0,0.44,5.76,47.09,5.86,24,479.12,18.58,148.45,26.74,14.71
5.14,0,7.75,0,0.59,6.64,39.51,3.46,5,437.75,16.26,372.56,9.36,34.06
-4.8,0,12.82,0,0.49,6.86,18.37,7.22,3,452.8,19.04,368.11,8.66,28.03
1.23,0,13.69,0,0.66,6.11,108.09,2.35,24,554.37,20.07,390.55,15.94,29.27
-6.82,0,18.54,0,0.56,5.57,55.77,2.56,6,462.69,19.48,227.22,20.14,18.02
21.19,0,18.75,0,0.67,5.6,161.73,0.6,24,480.58,18.56,371.68,29.24,22.46
9.83,0,19.56,0,0.75,6.36,95.03,0.75,8,658.3,22.66,407.39,17.17,21.58
5.8,0,21.94,0,0.7,6.17,85.59,0.33,24,680.12,19.33,327.15,8.59,23
12.25,0,14.33,0,0.6,6.87,74.3,2.1,24,465.48,19.73,267.82,12.14,21.53
5.54,0,14.21,0,0.67,6.81,115.08,1.87,24,460.42,19.04,374.03,19.58,18.26
1.36,0,7.97,0,0.56,5.54,82.09,5.42,5,496.79,20.99,408.18,11.72,20.1
10.67,0,17.17,0,0.64,7.28,86.85,3.61,6,485.12,14.6,243.37,12.07,29.87
-2.86,80,4.22,0,0.55,5.82,57.89,5.22,5,364.35,17.25,549.56,8.58,20.11
20.79,0,10.32,0,0.48,5.13,73.53,5.87,8,539.11,24.84,252.57,27.13,-3.99
7.11,0,14.14,0,0.47,6.92,51.97,4.96,5,431.92,17.61,371.55,11.01,20.42
-3.39,0,13.11,0,0.59,6.58,79.14,2.97,5,520.86,19.7,203.22,11.64,32.15
-6.29,80,2.96,0,0.4,6.39,31.53,5.7,5,358.72,17.9,334.05,3.74,30.24
15.78,0,5.44,0,0.44,6.28,28.15,5.06,5,459.29,20.73,205.96,10.95,14.91
1.33,0,14.5,0,0.56,7,69.95,5.09,2,366.4,17.07,487.27,13.69,31.24
5.58,30,2.69,0,0.44,5.67,66.3,5.99,4,294.92,17.64,586.19,18.44,14.22
5.75,0,17.6,0,0.62,6.87,93.96,2.23,7,433.21,18.84,302.87,12.32,21.91
6.42,0,12.6,0,0.62,5.95,85.87,2.5,5,373.02,16.77,346.98,13.46,22.55
4.28,20,9.9,0,0.63,6.11,31.56,5.68,24,581.69,16.2,414.14,14.31,24.05
0.73,0,15.1,0,0.59,5.52,89.4,3.02,5,194.44,18.91,307.48,14.35,31.49
9.94,0,10.72,0,0.5,7.07,73.7,4.37,5,532.66,18.82,364.13,12.12,27.63
3.89,0,22.24,0,0.65,6.22,92.64,0.24,5,497.48,18.09,262.57,14.87,22.14
14.94,0,12.2,0,0.64,6.24,89.41,1.94,24,510.43,19.92,414.36,6.89,23.55
-10.84,0,3.39,0,0.55,5.82,72.2,4.44,1,97.65,17.08,357.42,14.72,35.44
4.57,0,12.83,0,0.6,5.64,51.01,3.05,24,554.29,18.03,406.84,14.99,24.44
0.16,0,13.17,0,0.6,5.61,93.37,3.54,4,604.79,19.83,329.33,18.66,13.15
-5.91,25,1.86,0,0.47,7.38,56.2,6.28,2,76.55,16.4,502.22,0.24,40.1
6.88,20,1.96,0,0.5,6.59,44.47,4.21,24,310.65,20.75,431.44,2.86,26.34
5.09,0,15.34,0,0.6,6.54,61.38,2.85,4,348.26,18.26,409.14,5.54,17.66
-1.65,60,3.29,0,0.33,6.7,40.41,8.13,3,193.9,16.93,555.04,3.1,35.23
25.31,0,28.33,0,0.76,4.81,102.14,0.39,24,977.4,25.16,218.01,20.56,7.28
