"","CRIM","ZN","INDUS","CHAS","NOX","RM","AGE","DIS","RAD","TAX","PTRATIO","B","LSTAT"
"1",-2.97,"0",14.49,"0",0.44,5.7,65.05,1.78,"3",257.72,19.77,410.11,13.68
"2",17.24,"0",14.66,"0",0.62,6.05,76.47,2.31,"5",506.09,17.13,261.14,15.17
"3",6.16,"25",7.43,"0",0.41,6.96,45.55,7.14,"4",345.69,19.05,431.24,13.58
"4",10.42,"0",7.36,"1",0.54,5.71,72.04,4.12,"24",408.12,17.22,571.38,12.01
"5",-10.15,"80",5.6,"0",0.41,7.3,60.4,3.63,"4",266.17,19.99,451.69,7.29
"6",0.63,"0",8.27,"0",0.5,6.61,60.15,3.73,"5",306.75,17.87,303.14,10.14
"7",-7.46,"90",4.11,"0",0.35,7.18,25.88,6.85,"4",351.76,14.87,430.26,2.57
"8",9.5,"0",18.3,"0",0.67,5.91,103.05,2.76,"7",543.47,17.91,214.47,16.73
"9",2.89,"0",9.46,"0",0.54,5.05,70.31,1.87,"5",464.02,18.03,389.9,13.91
"10",-5.41,"28",7.25,"0",0.44,6.96,79.26,3.85,"4",285.46,19.96,572.6,9.06
"11",1.66,"0",14.14,"0",0.5,5.16,90.75,4.22,"4",326.42,21.9,423.08,22.79
"12",9.09,"0",10.43,"0",0.54,6.38,53.25,4.13,"6",383.65,16.37,357.88,17.24
"13",-9.89,"45",-1.72,"0",0.47,5.68,51.19,5.88,"3",64.85,15.52,332.5,7.8
"14",8.04,"0",20.58,"0",0.69,6.22,35.95,3.47,"7",538.42,17.18,292.81,12.95
"15",7.67,"28",4.94,"0",0.34,6.06,73.73,6.13,"4",195.36,17.97,343.4,20.97
"16",4.35,"20",9.92,"0",0.57,7.52,78.87,2.34,"24",430.02,16.01,351.51,10.87
"17",4.97,"0",15.36,"0",0.66,5.24,122.66,2.22,"5",380.8,20.53,296.86,24.34
"18",2.65,"0",15.16,"0",0.55,6.78,52.65,2.85,"5",402.67,14.28,428.12,7.02
"19",16.5,"33",-1.37,"0",0.38,6.92,56.3,7.67,"24",327.75,20.16,363.9,7.58
"20",10.25,"0",7.59,"0",0.55,6.93,39.28,5.04,"24",303.94,14.19,336.94,0.35
"21",-10.53,"20",6.03,"0",0.44,6.32,10.28,7.55,"3",248.73,19.09,421.14,8.34
"22",-7.73,"0",16.76,"0",0.55,7.82,78.04,3.3,"5",548.05,21.32,434.31,9.94
"23",-5.66,"0",21.65,"1",0.59,6.39,96.66,2.89,"1",310.63,17.68,481.63,7.15
"24",14.97,"0",14.79,"0",0.68,6.39,122.33,0.06,"6",574.92,19.74,568.94,21.14
"25",8.21,"0",15.83,"0",0.65,5.24,89.41,2.18,"6",517.1,15.8,238.77,20.96
"26",6.61,"0",17.79,"0",0.69,6.43,105.77,0.74,"5",634.92,20.72,219.07,20.01
"27",-9.13,"20",3.34,"0",0.45,5.64,56.53,5.6,"4",274.09,19.93,303.48,13.25
"28",4.85,"0",8.3,"0",0.63,6.06,84.77,0.87,"7",440.19,16.79,110.7,10.31
"29",8.72,"0",7.89,"0",0.58,6.93,110.71,3.87,"7",344.83,13.8,366.46,8.16
